TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
278.4,99722,4.3,2.2,0.0047,0,0.1,0,280.5,0.3028,01.05.2018.00.00,4.83
284.9,101441,5.9,1.8,0.00565,0,0,0,273.2,1,01.05.2018.00.00,6.17
284,101210,5.8,3,0.00548,0,0,0,273.2,1,01.05.2018.00.00,6.53
272.7,99556,2.4,1.4,0.00404,0,0,0,278.7,0.2943,01.05.2018.00.00,2.78
278.5,100512,3.9,1.7,0.00455,0,0.2,0,281.2,0.3138,01.05.2018.00.00,4.25
286.1,101389,6.2,2.9,0.00563,0,0,0,273.2,1,01.05.2018.00.00,6.84
284,101175,6.1,5.5,0.00563,0,0,0,273.2,1,01.05.2018.00.00,8.21
278.4,99449,4.3,2.3,0.00476,0,0.3,0,280.3,0.3038,01.05.2018.00.00,4.88
284.2,101424,6,0.6,0.00532,0,0.15,0,273.2,1,01.05.2018.00.00,6.03
284,101078,6.5,7,0.00571,0,0,0,273.2,1,01.05.2018.00.00,9.55
284.6,100831,7.2,2.7,0.00542,0,0,0,273.2,1,01.05.2018.00.00,7.69
276.2,100125,2.4,3,0.00462,0,0,0,279.4,0.3176,01.05.2018.00.00,3.84
278.3,100042,3.5,2.3,0.00477,0,0.1,0,280.5,0.3041,01.05.2018.00.00,4.19
283.15,100951,7.7,-1,0.00544,0,0,0,273.2,1,01.05.2018.00.00,7.76
288,101445,6.85,2.2,0.00562,0,0,0,273.2,1,01.05.2018.00.00,7.19
286.8,101425,6,2.3,0.00557,0,0,0,273.2,1,01.05.2018.00.00,6.43
283.8,101404,6,-0.2,0.00529,0,0,0,273.2,1,01.05.2018.00.00,6
278,99708,3.6,1.8,0.0053,0.9,0.5,0,279.7,0.3344,01.05.2018.00.00,4.02
284,101118,6.4,6.5,0.0057,0,0,0,273.2,1,01.05.2018.00.00,9.12
283.4,100980,7.6,-2.4,0.00582,0,0,0,273.2,1,01.05.2018.00.00,7.97
276.9,98823,4.2,2.7,0.00486,0,0,0,279.2,0.3204,01.05.2018.00.00,4.99
284.5,101279,5.7,2.2,0.00568,0,0,0,273.2,1,01.05.2018.00.00,6.11
283.7,101268,6.7,1.1,0.004985,0,0,0,273.2,1,01.05.2018.00.00,6.79
278.8,99962,5.8,0.4,0.00429,0,0.3,0,280.2,0.3097,01.05.2018.00.00,5.81
285.1,101455,6,3.1,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.75
272.2,99792,1.5,1.6,0.00392,0,0,0,278.9,0.2924,01.05.2018.00.00,2.19
279.8,100382,6.2,-1.2,0.00418,0,0,0,280.6,0.3209,01.05.2018.00.00,6.32
283.6,101019,7.9,-0.8,0.00546,0,0,0,273.2,1,01.05.2018.00.00,7.94
283.8,100997,8.3,0,0.00547,0,0,0,273.2,1,01.05.2018.00.00,8.3
285.3,101393,6.1,2.9,0.00558,0,0,0,273.2,1,01.05.2018.00.00,6.75
284.4,101460,5.8,2.1,0.00565,0,0,0,273.2,1,01.05.2018.00.00,6.17
283.8,101168,6,5.1,0.00556,0,0,0,273.2,1,01.05.2018.00.00,7.87
284.7,101491,5.4,2.3,0.00576,0,0,0,273.2,1,01.05.2018.00.00,5.87
284.8,101306,6,3.6,0.00558,0,0,0,273.2,1,01.05.2018.00.00,7
273.7,99898,6,1.8,0.00426,0,0.2,0,279.1,0.309,01.05.2018.00.00,6.26
283.9,101300,6,2,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.32
278.5,100362,1.7,1.6,0.00452,0,0,0,279.8,0.3168,01.05.2018.00.00,2.33
284.9,101362,6.8,4.1,0.00559,0,0,0,280.15,1,01.05.2018.00.00,7.94
279.3,100290,4.5,0.9,0.00465,0,0.2,0,280.5,0.3132,01.05.2018.00.00,4.59
282.5,100902,8.7,-1.3,0.00517,0,0,0,273.2,1,01.05.2018.00.00,8.8
283.9,101406,5.9,0.2,0.00535,0,0,0,273.2,1,01.05.2018.00.00,5.9
284.9,101398,6,2.9,0.00556,0,0,0,273.2,1,01.05.2018.00.00,6.66
284.3,101227,6.5,5.3,0.00567,0,0,0,273.2,1,01.05.2018.00.00,8.39
283.5,100967,8.3,-0.7,0.00509,0,0,0,273.2,1,01.05.2018.00.00,8.33
285.1,101402,6.6,4.3,0.00563,0,0,0,273.2,1,01.05.2018.00.00,7.88
285.3,101413,6,2.4,0.00557,0,0,0,273.2,1,01.05.2018.00.00,6.46
285.9,101414,6.2,3.2,0.00556,0,0,0,273.2,1,01.05.2018.00.00,6.98
284.7,101349,5.7,1.9,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.01
274,100258,1.7,2.4,0.00427,0,0.1,0,278.8,0.3139,01.05.2018.00.00,2.94
